UserID,SubscriptionTier,TotalViewingHoursLastMonth,TopGenre,BingeWatchingSessionsLastMonth,NumberOfUniqueTitlesWatchedLastMonth,AverageSessionDurationMinutes,CustomerServiceInteractionsLastYear,MonthlyCost,Churned
USER_00001,Basic,47.9,Comedy,5,15,32.6,3,7.99,0
USER_00002,Premium,41.4,Drama,5,9,45.7,3,17.99,0
USER_00003,Standard,33.6,Action,1,7,32.3,4,12.99,1
USER_00004,Standard,115.6,Action,12,33,57.3,1,12.99,0
USER_00005,Basic,93.8,Documentary,9,27,90.0,2,7.99,1
USER_00006,Basic,105.6,Romance,10,27,80.0,2,7.99,0
USER_00007,Basic,106.6,Thriller,8,23,53.1,3,7.99,0
USER_00008,Premium,93.6,Documentary,11,27,55.1,2,17.99,0
USER_00009,Standard,138.9,Comedy,12,36,86.4,1,12.99,0
USER_00010,Standard,56.9,Action,6,17,56.2,2,12.99,0
USER_00011,Basic,24.5,Horror,5,9,38.9,4,7.99,1
USER_00012,Premium,117.5,Documentary,11,25,75.5,1,17.99,0
USER_00013,Standard,109.2,Documentary,11,30,66.1,2,12.99,0
USER_00014,Basic,31.5,Horror,2,1,43.1,5,7.99,1
USER_00015,Basic,51.1,SciFi,5,22,50.1,3,7.99,1
USER_00016,Basic,66.3,Romance,6,26,39.5,3,7.99,1
USER_00017,Basic,104.7,Action,12,33,94.1,2,7.99,1
USER_00018,Standard,74.5,SciFi,6,6,66.0,4,12.99,1
USER_00019,Standard,63.7,Romance,6,13,73.1,3,12.99,1
USER_00020,Basic,97.8,Comedy,9,29,59.2,1,7.99,0
USER_00021,Standard,48.2,Documentary,6,12,46.5,3,12.99,1
USER_00022,Basic,26.3,Comedy,2,5,10.0,4,7.99,1
USER_00023,Basic,79.2,Thriller,9,32,65.9,2,7.99,1
USER_00024,Basic,75.1,Action,6,25,49.8,2,7.99,0
USER_00025,Standard,112.7,Documentary,9,19,77.2,2,12.99,0
USER_00026,Standard,94.7,Comedy,11,20,59.4,2,12.99,0
USER_00027,Basic,83.5,SciFi,8,24,45.2,3,7.99,0
